Volker D., Burkert , Jefferson Lab, Author
Bastian, Kubis, University of Bonn, Author
Lei, Guo, Florida International University, Author
Moskov J., Amaryan, Old Dominion University, Author
I. J. Douglas, MacGregor, University of Glasgow, Author
Brian, McKinnon, University of Glasgow, Author
Guenther, Rosner , University of Glasgow, Author
William J., Briscoe, The George Washington University, Author
Mohammad, Hattawy, Argonne National Laboratory, Author
Derek I., Glazier, Edinburgh University, Author
Philip L., Cole, Idaho State University, Author
Christoph, Hanhart, Forschungszentrum Jülich, Author
James, Ritman, Forschungszentrum Jülich, Author
Susan, Schadmand, Forschungszentrum Jülich, Author
Xinying, Song, Forschungszentrum Jülich, Author
Andreas, Wirzba, Forschungszentrum Jülich, Author
Daniel, Lersch, Forschungszentrum Jülich, Spokesperson
Michael C., Kunkel, Forschungszentrum Jülich, Spokesperson
